Date,Total Market,Mega Cap,Large Cap,Mid Cap,Small/Mid Cap,Small Cap,Micro Cap,Total Market Australian Hedged,Total Market AUD,Total Market Canadian Hedged,Total Market CAD
2016-06-30,0.24%,0.31%,0.25%,-0.07%,0.09%,0.27%,-0.32%,0.33%,-2.47%,0.24%,-1.24%
2016-07-29,3.96%,3.60%,3.77%,4.64%,4.85%,5.07%,5.41%,3.97%,1.85%,3.97%,5.07%
2016-08-31,0.26%,0.18%,0.18%,0.16%,0.38%,0.62%,2.27%,0.39%,1.40%,0.25%,0.70%
2016-09-30,0.17%,0.02%,0.08%,0.38%,0.39%,0.41%,3.13%,0.25%,-1.63%,0.15%,0.21%
2016-10-31,-2.21%,-1.62%,-1.86%,-3.08%,-3.57%,-4.11%,-5.79%,-2.15%,-1.66%,-2.27%,-0.03%
2016-11-30,4.44%,3.50%,3.70%,4.69%,6.54%,8.61%,11.60%,4.67%,7.57%,4.44%,4.60%
2016-12-30,1.94%,2.16%,1.91%,0.66%,1.24%,1.87%,3.83%,2.03%,4.01%,1.90%,1.89%
2017-01-31,1.92%,1.84%,2.03%,2.99%,2.30%,1.58%,-1.11%,1.91%,-2.79%,1.82%,-1.22%
2017-02-28,3.72%,4.14%,3.97%,3.10%,2.74%,2.37%,1.68%,3.73%,2.41%,3.76%,5.86%
2017-03-31,0.08%,0.12%,0.11%,0.02%,-0.10%,-0.23%,1.27%,0.15%,0.87%,0.05%,0.21%
2017-04-28,1.06%,1.07%,1.09%,1.18%,1.02%,0.85%,1.23%,1.12%,3.09%,1.03%,3.73%
2017-05-31,1.02%,1.51%,1.42%,0.92%,-0.06%,-1.13%,-2.55%,1.08%,1.48%,0.97%,-0.03%
2017-06-30,0.93%,0.66%,0.66%,0.66%,1.41%,2.24%,4.93%,0.95%,-2.05%,0.84%,-3.11%
2017-07-31,1.87%,2.08%,2.02%,1.72%,1.43%,1.11%,0.25%,1.84%,-2.12%,1.73%,-2.06%
2017-08-31,0.16%,0.52%,0.34%,-0.56%,-0.74%,-0.94%,-0.33%,0.20%,0.82%,0.11%,0.32%
2017-09-29,2.46%,2.02%,2.06%,2.26%,3.29%,4.41%,7.86%,2.53%,3.57%,2.42%,2.38%
2017-10-31,2.16%,2.48%,2.31%,1.44%,1.49%,1.55%,-0.24%,2.26%,4.55%,2.21%,5.63%
2017-11-30,3.05%,3.03%,3.05%,3.17%,3.13%,3.09%,2.39%,3.11%,4.08%,3.02%,3.05%
2017-12-29,1.01%,1.16%,1.13%,0.95%,0.68%,0.40%,-0.29%,0.97%,-1.96%,0.91%,-1.58%
2018-01-31,5.33%,6.04%,5.76%,4.36%,3.63%,2.84%,2.42%,5.15%,1.74%,5.17%,3.06%
2018-02-28,-3.72%,-3.60%,-3.68%,-4.06%,-4.06%,-4.06%,-3.44%,-3.85%,0.05%,-3.90%,0.44%
2018-03-29,-1.98%,-2.96%,-2.50%,-0.10%,0.48%,1.13%,1.37%,-2.03%,-0.42%,-2.06%,-1.58%
2018-04-30,0.38%,0.48%,0.37%,-0.15%,0.08%,0.34%,1.17%,0.41%,2.00%,0.32%,0.04%
2018-05-31,2.81%,2.50%,2.38%,1.78%,3.33%,5.07%,7.58%,2.80%,2.56%,2.77%,3.82%
2018-06-29,0.69%,0.61%,0.66%,0.93%,0.84%,0.74%,1.60%,0.67%,3.11%,0.59%,2.09%
2018-07-31,3.34%,3.86%,3.63%,2.57%,2.23%,1.83%,0.36%,3.31%,2.71%,3.25%,2.26%
2018-08-31,3.45%,3.42%,3.26%,2.51%,3.43%,4.49%,5.01%,3.55%,6.34%,3.40%,3.78%
2018-09-28,0.17%,0.70%,0.49%,-0.47%,-0.97%,-1.54%,-3.35%,0.17%,0.12%,0.11%,-0.86%
2018-10-31,-7.39%,-6.62%,-6.92%,-8.39%,-9.17%,-10.09%,-11.33%,-7.56%,-5.46%,-7.56%,-5.62%
2018-11-30,2.07%,2.03%,2.10%,2.40%,2.30%,2.17%,-0.30%,1.95%,-0.94%,2.05%,3.01%
2018-12-31,-9.29%,-8.81%,-8.99%,-9.88%,-10.43%,-11.09%,-11.77%,-9.67%,-5.91%,-9.62%,-6.79%
2019-01-31,8.63%,7.66%,8.15%,10.57%,11.15%,11.86%,10.40%,8.23%,4.88%,8.19%,4.55%
2019-02-28,3.50%,3.08%,3.28%,4.24%,4.51%,4.83%,5.60%,3.60%,6.08%,3.45%,3.66%
2019-03-29,1.45%,1.97%,1.86%,1.33%,0.32%,-0.89%,-2.39%,1.40%,1.60%,1.39%,3.02%
2019-04-30,3.98%,4.13%,4.06%,3.76%,3.69%,3.60%,2.20%,3.97%,4.94%,3.94%,4.24%
2019-05-31,-6.44%,-6.38%,-6.33%,-6.04%,-6.58%,-7.25%,-6.44%,-6.62%,-4.95%,-6.55%,-5.61%
2019-06-28,6.99%,6.97%,6.98%,7.07%,7.06%,7.04%,6.34%,6.81%,5.63%,6.72%,3.66%
2019-07-31,1.45%,1.55%,1.51%,1.32%,1.30%,1.26%,-0.28%,1.38%,3.29%,1.39%,2.25%
2019-08-30,-2.02%,-1.48%,-1.68%,-2.70%,-3.30%,-4.01%,-5.18%,-2.20%,0.24%,-2.11%,-1.16%
2019-09-30,1.72%,1.72%,1.78%,2.06%,1.74%,1.37%,1.01%,1.62%,1.61%,1.66%,1.22%
2019-10-31,2.11%,2.40%,2.19%,1.10%,1.33%,1.60%,1.74%,1.95%,-0.04%,2.04%,1.51%
2019-11-29,3.78%,3.80%,3.70%,3.22%,3.64%,4.14%,5.14%,3.76%,5.70%,3.81%,4.66%
2019-12-31,2.87%,3.02%,2.92%,2.42%,2.31%,2.19%,5.25%,2.69%,-1.02%,2.77%,0.56%
2020-01-31,-0.07%,0.35%,0.26%,-0.23%,-1.07%,-2.03%,-2.99%,-0.11%,4.93%,-0.07%,1.84%
2020-02-28,-8.17%,-8.00%,-8.12%,-8.75%,-8.71%,-8.67%,-7.23%,-8.62%,-4.65%,-8.31%,-6.86%
2020-03-31,-13.78%,-11.40%,-12.52%,-18.43%,-20.00%,-21.86%,-23.47%,-14.76%,-9.18%,-14.70%,-9.60%
2020-04-30,13.26%,12.83%,13.07%,14.40%,14.50%,14.65%,15.34%,12.53%,5.88%,12.97%,12.03%
2020-05-29,5.39%,4.70%,5.07%,7.13%,7.41%,7.75%,6.96%,5.31%,3.94%,5.36%,4.24%
2020-06-30,2.29%,2.25%,2.20%,1.97%,2.22%,2.53%,5.84%,2.20%,-1.38%,2.25%,0.86%
2020-07-31,5.64%,5.74%,5.86%,6.46%,5.59%,4.50%,1.85%,5.32%,1.42%,5.51%,4.23%
2020-08-31,7.18%,8.49%,7.62%,3.15%,3.55%,4.05%,5.47%,6.92%,3.94%,6.93%,4.35%
2020-09-30,-3.56%,-4.04%,-3.68%,-1.70%,-2.15%,-2.72%,-2.71%,-3.67%,-0.49%,-3.67%,-1.57%
2020-10-30,-2.15%,-3.27%,-2.74%,-0.09%,0.84%,2.00%,0.67%,-2.17%,-0.13%,-2.17%,-2.11%
2020-11-30,12.21%,11.15%,11.55%,13.46%,14.59%,16.01%,20.24%,11.67%,6.94%,11.86%,9.35%
2020-12-31,4.46%,3.92%,3.96%,4.13%,5.60%,7.40%,9.12%,4.26%,-0.25%,4.34%,2.37%
2021-01-29,-0.32%,-0.94%,-0.87%,-0.53%,0.70%,2.19%,9.42%,-0.35%,0.25%,-0.34%,0.13%
2021-02-26,3.18%,2.09%,2.66%,5.25%,5.66%,6.14%,6.94%,3.16%,2.26%,3.14%,2.67%
2021-03-31,3.47%,4.16%,3.83%,2.37%,2.02%,1.61%,0.43%,3.47%,5.18%,3.43%,2.16%
2021-04-30,5.14%,5.52%,5.39%,4.82%,4.47%,4.04%,0.95%,5.04%,3.67%,4.99%,2.82%
2021-05-28,0.43%,0.41%,0.48%,0.82%,0.47%,0.06%,0.42%,0.41%,0.62%,0.41%,-1.32%
2021-06-30,2.55%,2.92%,2.72%,1.81%,1.64%,1.43%,2.50%,2.60%,5.31%,2.61%,5.21%
2021-07-30,1.71%,2.51%,2.29%,1.29%,0.08%,-1.44%,-4.67%,1.73%,3.88%,1.71%,2.36%
2021-08-31,2.87%,2.98%,2.99%,3.02%,2.56%,1.98%,3.37%,2.86%,3.46%,2.88%,4.01%
2021-09-30,-4.48%,-4.82%,-4.70%,-4.15%,-3.70%,-3.11%,-2.98%,-4.56%,-3.36%,-4.51%,-4.12%
2021-10-29,6.72%,7.15%,7.06%,6.61%,5.86%,4.91%,2.55%,6.47%,2.64%,6.58%,4.27%
2021-11-30,-1.48%,-0.71%,-1.03%,-2.51%,-3.31%,-4.34%,-4.96%,-1.60%,4.36%,-1.56%,1.67%
2021-12-31,3.82%,3.93%,3.93%,3.89%,3.72%,3.50%,0.06%,3.74%,1.25%,3.73%,2.79%
2022-01-31,-6.03%,-5.25%,-5.71%,-7.86%,-7.88%,-7.90%,-10.34%,-6.23%,-3.03%,-6.07%,-5.58%
2022-02-28,-2.54%,-3.46%,-3.03%,-0.99%,-0.20%,0.86%,0.49%,-2.57%,-5.38%,-2.56%,-2.84%
2022-03-31,3.25%,3.71%,3.53%,2.69%,2.17%,1.48%,0.94%,3.08%,-0.23%,3.17%,1.82%
2022-04-29,-9.02%,-9.31%,-9.09%,-8.04%,-8.13%,-8.23%,-11.25%,-9.66%,-3.86%,-9.27%,-6.52%
2022-05-31,-0.26%,-0.28%,-0.28%,-0.31%,-0.19%,-0.03%,-0.68%,-0.29%,-1.19%,-0.24%,-1.82%
2022-06-30,-8.37%,-7.98%,-8.23%,-9.40%,-9.40%,-9.40%,-8.44%,-8.80%,-4.41%,-8.54%,-6.77%
2022-07-29,9.40%,9.15%,9.23%,9.61%,10.02%,10.57%,10.35%,9.25%,7.81%,9.33%,8.82%
2022-08-31,-3.73%,-4.13%,-3.92%,-2.97%,-2.82%,-2.62%,-0.55%,-3.82%,-2.01%,-3.79%,-1.29%
2022-09-30,-9.27%,-9.09%,-9.23%,-9.87%,-9.74%,-9.57%,-9.43%,-10.00%,-3.26%,-9.76%,-4.59%
2022-10-31,8.17%,7.79%,7.91%,8.51%,9.11%,9.91%,9.64%,8.16%,8.76%,8.11%,6.66%
2022-11-30,5.23%,5.26%,5.42%,6.15%,5.41%,4.43%,0.47%,4.95%,0.48%,5.16%,3.87%
